aallaratta	aallar<Causativ<vi
Qasigiannguani	Qasigiannguit<Lokalis
Qasigiannguaniinngitsorli	Qasigiannguit<Lokalis+IP-NNGIT<Participium<han+LI
Qasigiannguaneeqqaarattali	Qasigiannguit<Lokalis+IP-QQAAR<Causativ<vi+LI
Qasigiannguaneeriarmanuna	Qasigiannguit<Lokalis+IP-RIAR<Causativ<han+UNA
Qasigiannguaneereertoruna	Qasigiannguit<Lokalis+IP-RIIR+TUQ<ental<Absolut+UNA
Qasigiannguaniluunniit	Qasigiannguit<Lokalis+LUUNNIIT
Qasigiannguarmiuleriartormatali	Qasigiannguit+MIU-LIRI+GIARTUR<Causativ<de+LI
Qasigiannguarmiuuniarpa	Qasigiannguit+MIU-U+NIAR<Interrogativ<han
Qasigiannguarmiooqalutinguna	Qasigiannguit+MIU-U-QӘ<Ledsagemåde<de_selv+UNA
Qasigiannguarmiooreerpisi	Qasigiannguit+MIU-U-RIIR<Interrogativ<I
Qasigiannguarmiuuippit	Qasigiannguit+MIU-U-VIP<Interrogativ<du
Qasigiannguanut	Qasigiannguit<Terminalis
Qasigiannguanukareerlutinguna	Qasigiannguit<Terminalis-KAR-RIIR<Ledsagemåde<de_selv+UNA
Qasigiannguanukavittorlu	Qasigiannguit<Terminalis-KAR-VIP<Participium<han+LU
Qasigiannguanullu	Qasigiannguit<Terminalis+LU
Qasigiannguanununa	Qasigiannguit<Terminalis+UNA
qatanngummut	qatanngut<ental<Terminalis
qatanngummulli	qatanngut<ental<Terminalis+LI
qatanngummullu	qatanngut<ental<Terminalis+LU
qatanngutiliallu	qatanngut-LIK<ental<deres+LU
qatanngutisioriartuinnaq	qatanngut+SIUR-RIAR+TUQ-INNAQ<ental<Absolut
qatanngutitaannarput	qatanngut+TAAR-INNAR<Indikativ<de
Qeqertarsuaq	Qeqertarsuaq<ental<Absolut
Qeqertarsuarli	Qeqertarsuaq<ental<Absolut+LI
Qeqertarsuarluunniit	Qeqertarsuaq<ental<Absolut+LUUNNIIT
Qeqertarsuarmik	Qeqertarsuaq<Instrumentalis
Qeqertarsuarmilli	Qeqertarsuaq<Instrumentalis+LI
Qeqertarsuarmilluunniit	Qeqertarsuaq<Instrumentalis+LUUNNIIT
Qeqertarsuarminguna	Qeqertarsuaq<Instrumentalis+UNA
Qeqertarsuarmi	Qeqertarsuaq<Lokalis
Qeqertarsuarmiinnikuummat	Qeqertarsuaq<Lokalis+IP+NIKUU<Causativ<han
Qeqertarsuarmiinnginnerluunniit	Qeqertarsuaq<Lokalis+IP-NNGIT+NIQ<ental<Absolut+LUUNNIIT
Qeqertarsuarmeeqqaarneq	Qeqertarsuaq<Lokalis+IP-QQAAR+NIQ<ental<Absolut
Qeqertarsuarmeeqqaartoq	Qeqertarsuaq<Lokalis+IP-QQAAR+TUQ<ental<Absolut
Qeqertarsuarmeeqqutigilli	Qeqertarsuaq<Lokalis+IP-QQU<Imperativ<ViDem+LI
Qeqertarsuarmeeriarattalu	Qeqertarsuaq<Lokalis+IP-RIAR<Causativ<vi+LU
Qeqertarsuarmiuna	Qeqertarsuaq<Lokalis+UNA
Qeqertarsuarmiunilli	Qeqertarsuaq+MIU<flertal<Instrumentalis+LI
Qeqertarsuarmioqarporlu	Qeqertarsuaq+MIU-QAR<Indikativ<han+LU
Qeqertarsuarmioqarneq	Qeqertarsuaq+MIU-QAR+NIQ<ental<Absolut
Qeqertarsuarmioqartorlu	Qeqertarsuaq+MIU-QAR+TUQ<ental<Absolut+LU
Qeqertarsuarmioorusummat	Qeqertarsuaq+MIU-U+GUSUP<Causativ<han
Qeqertarsuarmioorusuppit	Qeqertarsuaq+MIU-U+GUSUP<Interrogativ<du
Qeqertarsuarmukalaartoq	Qeqertarsuaq<Terminalis-KAR-LAAR+TUQ<ental<Absolut
Qeqertarsuarmukareertulluunniit	Qeqertarsuaq<Terminalis-KAR-RIIR<Participium<de+LUUNNIIT
Qeqertarsuarmukassallutik	Qeqertarsuaq<Terminalis-KAR-SSA<Ledsagemåde<de_selv
Qeqertarsuarmulli	Qeqertarsuaq<Terminalis+LI
Qeqertarsuakkut	Qeqertarsuaq<Vialis
Qeqertarsuakkulli	Qeqertarsuaq<Vialis+LI
Qeqertarsuakkullu	Qeqertarsuaq<Vialis+LU
Qeqertarsuakkulluunniit	Qeqertarsuaq<Vialis+LUUNNIIT
Qeqertarsuakkununa	Qeqertarsuaq<Vialis+UNA
qimakkaluartigillu	qimap+GALUAR<Imperativ<ViDem+LU
qimakkunnaarlunga	qimap+GUNNAAR<Ledsagemåde<mig
qimappaangali	qimap<Indikativ<HanMig+LI
qimanniarnagilli	qimap+NIAR=NNGIT<Ledsagemåde<dem+LI
qimannikuulara	qimap+NIKUU<Optativ<JegHam
qimannerutigilluunniit	qimap+NIRU<Imperativ<ViDem+LUUNNIIT
qimannagu	qimap-NNGIT<Ledsagemåde<ham
qimassimavaallu	qimap+SIMA<Indikativ<DeHam+LU
qimassimalara	qimap+SIMA<Optativ<JegHam
qimassimasartigilli	qimap+SIMA=TAR<Imperativ<ViDem+LI
qimattorujorujussuummanga	qimap+TUQ=RUJUK=RUJUK=SUAQ=U<Causativ<HanMig
qimarnguittulluunniit	qimarnguik<ental<Aequalis+LUUNNIIT
qimarnguittununa	qimarnguik<ental<Aequalis+UNA
qimarngueqalerfeqaqqaarnerpaaminguna	qimarnguik-QAR-LIR+FIK-QAR-QQAAR+NIRPAAQ<ental<Instrumentalis+UNA
qimarnguissalilaartarpassi	qimarnguik-SSAQ-LIR_nv-LAAR=TAR<Indikativ<JegJer
qinnullu	qinnut<ental<Absolut+LU
qinnununa	qinnut<ental<Absolut+UNA
qinnummik	qinnut<ental<Instrumentalis
qinnummeeqqaarnerli	qinnut<ental<Instrumentalis-IR-QQAAR+NIQ<ental<Absolut+LI
qinnummeeqqaartoqarporluunniit	qinnut<ental<Instrumentalis-IR-QQAAR+TUQ-QAR<Indikativ<han+LUUNNIIT
qinnummillu	qinnut<ental<Instrumentalis+LU
qinnummi	qinnut<ental<Lokalis
qinnummut	qinnut<ental<Terminalis
qinnummukaqquiuk	qinnut<ental<Terminalis-KAR-QQU<Interrogativ<DuHam
qinnummukareerlutik	qinnut<ental<Terminalis-KAR-RIIR<Ledsagemåde<de_selv
qinnummununa	qinnut<ental<Terminalis+UNA
qinnutaalu	qinnut<flertal<hans<Absolut+LU
qinnutigivillara	qinnut+GӘ-VIP<Optativ<JegHam
qiteq	qiteq<ental<Absolut
qeqqani	qiteq<ental<hans<Lokalis
qeqqanili	qiteq<ental<hans<Lokalis+LI
qeqqaniuna	qiteq<ental<hans<Lokalis+UNA
qiternukalaartartoq	qiteq<flertal<Terminalis-KAR-LAAR=TAR<Participium<han
qiteriilererusullutilluunniit	qiteq+GIIT-LIRI+GUSUP<Ledsagemåde<de_selv+LUUNNIIT
qiteriinngulaartarpisi	qiteq+GIIT-NNGUR-LAAR=TAR<Interrogativ<I
qitilissagaluarlungaana	qiteq-LIR_nv-SSA=GALUAR<Ledsagemåde<mig+UNA
qitinngooriarneraana	qiteq-NNGUAQ-U-RIAR+NIQ<ental<hans<Absolut+UNA
qitinngoqqaaratta	qiteq-NNGUR-QQAAR<Causativ<vi
qitinngussavit	qiteq-NNGUR-SSA<Interrogativ<du
qiteqassagaluarmatali	qiteq-QAR-SSA=GALUAR<Causativ<de+LI
qiterujussua	qiteq-RUJUK=SUAQ<ental<hans<Absolut
qitersioqqaarfeqarfikoqaqisullu	qiteq+SIUR-QQAAR+FIK-QAR+FIK-KU-QAR-QӘ<Participium<de+LU
qitissarsiussagaluarama	qiteq-SSAQ+SIUR-SSA=GALUAR<Causativ<jeg
qitissaagaluattullu	qiteq-SSAQ=U=GALUAQ<ental<deres<Aequalis+LU
qitissaagaluiuna	qiteq-SSAQ=U=GALUAQ<flertal<deres<Absolut+UNA
qularnarunnaarmat	qularnar+GUNNAAR<Causativ<han
qularnarunnaarpisi	qularnar+GUNNAAR<Interrogativ<I
qularnarusuffikkuili	qularnar+GUSUP+FIK-KKUT<flertal<hans<Absolut+LI
qularnalaaramalu	qularnar-LAAR<Causativ<jeg+LU
qularnarniarlutillu	qularnar+NIAR<Ledsagemåde<de_selv+LU
qularnarniarnatillu	qularnar+NIAR=NNGIT<Ledsagemåde<de_selv+LU
qularnaqqaarama	qularnar-QQAAR<Causativ<jeg
qularnaqqutiginuna	qularnar-QQU<Imperativ<ViDem+UNA
qularnaqisorujummeeriarfissioqqaarpugulli	qularnar-QӘ+TUQ-RUJUK<ental<Lokalis+IP-RIAR+FIK+SIUR-QQAAR<Indikativ<vi+LI
qularnartuliinnarlara	qularnar+TUQ-LIR_nv-INNAR<Optativ<JegHam
qulaa	qulә<ental<hans<Absolut
qulinili	qulә<ental<sin<Absolut+LI
qummut	qulә<ental<Terminalis
qulaanulli	qulә<ental<Terminalis<hans+LI
qummukaannarneq	qulә<ental<Terminalis-KAR-INNAR+NIQ<ental<Absolut
qummukalaartoqarporluunniit	qulә<ental<Terminalis-KAR-LAAR+TUQ-QAR<Indikativ<han+LUUNNIIT
qummukannginnerlu	qulә<ental<Terminalis-KAR-NNGIT+NIQ<ental<Absolut+LU
qummukariarfikulereqquaanngalu	qulә<ental<Terminalis-KAR-RIAR+FIK-KU-LIRI-QQU<Indikativ<DeMig+LU
qummukariarnerit	qulә<ental<Terminalis-KAR-RIAR+NIQ<flertal<Relativ
qummukariarnerilli	qulә<ental<Terminalis-KAR-RIAR+NIQ<flertal<Relativ+LI
qummukareerpisi	qulә<ental<Terminalis-KAR-RIIR<Interrogativ<I
qummukassagaluarpunga	qulә<ental<Terminalis-KAR-SSA=GALUAR<Indikativ<jeg
qummukarpallaarpunga	qulә<ental<Terminalis-KAR+VALLAAR<Indikativ<jeg
qummukavikkamaluunniit	qulә<ental<Terminalis-KAR-VIP<Causativ<jeg+LUUNNIIT
qummukavillutik	qulә<ental<Terminalis-KAR-VIP<Ledsagemåde<de_selv
qummulli	qulә<ental<Terminalis+LI
qummullu	qulә<ental<Terminalis+LU
qummulluunniit	qulә<ental<Terminalis+LUUNNIIT
qummununa	qulә<ental<Terminalis+UNA
qulaannaleriniarnerata	qulә-INNAQ-LIRI+NIAR+NIQ<ental<deres<Relativ
qulaannanngulerpit	qulә-INNAQ-NNGUR-LIR<Interrogativ<du
qulilililerlungaluunniit	qulә-LIK-LIR_nv-LIR<Ledsagemåde<mig+LUUNNIIT
qulissaavallaarattaana	qulә-SSAQ-U+VALLAAR<Causativ<vi+UNA
sakkutooq	sakkutooq<ental<Absolut
sakkutuumeereerlutillu	sakkutooq<ental<Instrumentalis-IR-RIIR<Ledsagemåde<de_selv+LU
sakkutoorivallaanngiliuk	sakkutooq+GӘ+VALLAAR=NNGIT<Interrogativ<DuHam
sakkutuukkunneeqqaartorli	sakkutooq-KKUT<flertal<Lokalis+IP-QQAAR<Participium<han+LI
sakkutuunngoreerpit	sakkutooq-NNGUR-RIIR<Interrogativ<du
sakkutooqalaartarlutinguna	sakkutooq-QAR-LAAR=TAR<Ledsagemåde<de_selv+UNA
sammisarerusummangaluunniit	sammisarә+GUSUP<Causativ<HanMig+LUUNNIIT
sammisarivaanga	sammisarә<Indikativ<HanMig
sammisareqqaarlara	sammisarә-QQAAR<Optativ<JegHam
sanarusukkakkuli	sana+GUSUP<Causativ<JegHam+LI
sanalluarlunga	sana+LUAR<Ledsagemåde<mig
sananeqartut	sana+NIQAR<Participium<de
sananeqartullilluunniit	sana+NIQAR+TUQ-LIK<flertal<Relativ+LUUNNIIT
sanariarlugit	sana-RIAR<Ledsagemåde<dem
sanasimasarmangali	sana+SIMA=TAR<Causativ<HanMig+LI
sanasinnaatigit	sana+SINNAA<Imperativ<ViDem
sanavallaarluguluunniit	sana+VALLAAR<Ledsagemåde<ham+LUUNNIIT
sapinngisamik	sapinngisamik<Partikel
sapinngisamilli	sapinngisamik<Partikel+LI
sapinngisamillu	sapinngisamik<Partikel+LU
sapinngisamilluunniit	sapinngisamik<Partikel+LUUNNIIT
sapinngisaminguna	sapinngisamik<Partikel+UNA
sermersuaq	sermersuaq<ental<Absolut
sermersuarli	sermersuaq<ental<Absolut+LI
sermersuattut	sermersuaq<ental<deres<Aequalis
sermersuata	sermersuaq<ental<deres<Relativ
sermersuatali	sermersuaq<ental<deres<Relativ+LI
sermersuatalu	sermersuaq<ental<deres<Relativ+LU
sermersua	sermersuaq<ental<hans<Absolut
sermersuali	sermersuaq<ental<hans<Absolut+LI
sermersualuunniit	sermersuaq<ental<hans<Absolut+LUUNNIIT
sermersuata	sermersuaq<ental<hans<Relativ
sermersuatalu	sermersuaq<ental<hans<Relativ+LU
sermersuarmilu	sermersuaq<ental<Lokalis+LU
sermersuanniilaarpungaana	sermersuaq<ental<min<Lokalis+IP-LAAR<Indikativ<jeg+UNA
sermersuanneeqqaarlutik	sermersuaq<ental<min<Lokalis+IP-QQAAR<Ledsagemåde<de_selv
sermersuanneeqqaartut	sermersuaq<ental<min<Lokalis+IP-QQAAR<Participium<de
sermersuarminik	sermersuaq<ental<sin<Instrumentalis
sermersuarmininguna	sermersuaq<ental<sin<Instrumentalis+UNA
sermersuarmut	sermersuaq<ental<Terminalis
sermersuit	sermersuaq<flertal<Absolut
sermersuilli	sermersuaq<flertal<Absolut+LI
sermersuillu	sermersuaq<flertal<Absolut+LU
sermersui	sermersuaq<flertal<deres<Absolut
sermersuili	sermersuaq<flertal<deres<Absolut+LI
sermersuarniissammanuna	sermersuaq<flertal<Instrumentalis-IR-SSA<Causativ<han+UNA
sermersuarniikkaluarneq	sermersuaq<flertal<Lokalis+IP+GALUAR+NIQ<ental<Absolut
sermersuarniinnginnamaana	sermersuaq<flertal<Lokalis+IP-NNGIT<Causativ<jeg+UNA
sermersuanni	sermersuaq<flertal<min<Lokalis
sermersuanneeqqaartoruna	sermersuaq<flertal<min<Lokalis+IP-QQAAR+TUQ<ental<Absolut+UNA
sermersuarnukalaartarpa	sermersuaq<flertal<Terminalis-KAR-LAAR=TAR<Interrogativ<han
sermersuarnulli	sermersuaq<flertal<Terminalis+LI
sinnerusummanga	sinner+GUSUP<Causativ<HanMig
sinniinnarlara	sinner-INNAR<Optativ<JegHam
sinnilermanga	sinner-LIR<Causativ<HanMig
sinnilertigillu	sinner-LIR<Imperativ<ViDem+LU
sinnerneqarnerpaanni	sinner+NIQAR+NIRPAAQv<flertal<min<Lokalis
sinninngimmanga	sinner-NNGIT<Causativ<HanMig
sinneqqaarmanga	sinner-QQAAR<Causativ<HanMig
sinneqqutigilli	sinner-QQU<Imperativ<ViDem+LI
sinneqquassi	sinner-QQU<Indikativ<JegJer
sinnissaviuk	sinner-SSA<Interrogativ<DuHam
sinnertorujussuuagununa	sinner+TUQ=RUJUK=SUAQ=U<Indikativ<ViDem+UNA
sisamaannalereqqaarfiinnaassallutinguna	sisamat-INNAQ-LIRI-QQAAR+FIK-INNAQ-U-SSA<Ledsagemåde<de_selv+UNA
sisamaannalilaarlara	sisamat-INNAQ-LIR_nv-LAAR<Optativ<JegHam
sisamaannanngorusufferujunneeqquiuk	sisamat-INNAQ-NNGUR+GUSUP+FIK-RUJUK<flertal<min<Lokalis+IP-QQU<Interrogativ<DuHam
sisamaannanngulaartartullu	sisamat-INNAQ-NNGUR-LAAR=TAR<Participium<de+LU
sisamanuna	sisamat<Talord<flertal<Absolut+UNA
Sisimiut	Sisimiut<Absolut
Sisimiulli	Sisimiut<Absolut+LI
Sisimiununa	Sisimiut<Absolut+UNA
Sisimiunik	Sisimiut<Instrumentalis
Sisimiuninguna	Sisimiut<Instrumentalis+UNA
Sisimiuni	Sisimiut<Lokalis
Sisimiuniikkaluarmata	Sisimiut<Lokalis+IP+GALUAR<Causativ<de
Sisimiuniilermalli	Sisimiut<Lokalis+IP-LIR<Causativ<han+LI
Sisimiuniittungalu	Sisimiut<Lokalis+IP<Participium<jeg+LU
Sisimiuneeqqaarlutilli	Sisimiut<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LI
Sisimiuneeqquassi	Sisimiut<Lokalis+IP-QQU<Indikativ<JegJer
Sisimiuneeqquiuk	Sisimiut<Lokalis+IP-QQU<Interrogativ<DuHam
Sisimiuneeqqulara	Sisimiut<Lokalis+IP-QQU<Optativ<JegHam
Sisimiuneeriarmalli	Sisimiut<Lokalis+IP-RIAR<Causativ<han+LI
Sisimiuneeriarnerali	Sisimiut<Lokalis+IP-RIAR+NIQ<ental<hans<Absolut+LI
Sisimiuneereerattali	Sisimiut<Lokalis+IP-RIIR<Causativ<vi+LI
Sisimiormiu	Sisimiut+MIU<ental<Absolut
Sisimiormiumilu	Sisimiut+MIU<ental<Lokalis+LU
Sisimiormiumukaqqutigit	Sisimiut+MIU<ental<Terminalis-KAR-QQU<Imperativ<ViDem
Sisimiormiunik	Sisimiut+MIU<flertal<Instrumentalis
Sisimiormiunilli	Sisimiut+MIU<flertal<Instrumentalis+LI
Sisimiormiunillu	Sisimiut+MIU<flertal<Instrumentalis+LU
Sisimiormiunilluunniit	Sisimiut+MIU<flertal<Instrumentalis+LUUNNIIT
Sisimiormiuninguna	Sisimiut+MIU<flertal<Instrumentalis+UNA
Sisimiormiuni	Sisimiut+MIU<flertal<Lokalis
Sisimiormiuniilaartartoqarpoq	Sisimiut+MIU<flertal<Lokalis+IP-LAAR=TAR+TUQ-QAR<Indikativ<han
Sisimiormiuniinngimmata	Sisimiut+MIU<flertal<Lokalis+IP-NNGIT<Causativ<de
Sisimiormiulerivugut	Sisimiut+MIU-LIRI<Indikativ<vi
Sisimiormiulerilaartuuikkamali	Sisimiut+MIU-LIRI-LAAR+TUQ-U-VIP<Causativ<jeg+LI
Sisimiormiulereqqutigit	Sisimiut+MIU-LIRI-QQU<Imperativ<ViDem
Sisimiormiunngoqqaarpugut	Sisimiut+MIU-NNGUR-QQAAR<Indikativ<vi
Sisimiormiunngoqqaarlutillu	Sisimiut+MIU-NNGUR-QQAAR<Ledsagemåde<de_selv+LU
Sisimiormiunngoqaalli	Sisimiut+MIU-NNGUR-QӘ<Indikativ<de+LI
Sisimiormiunngoriartoqaqaangaana	Sisimiut+MIU-NNGUR-RIAR+TUQ-QAR-QӘ<Indikativ<jeg+UNA
Sisimiormiunngussagaluartoq	Sisimiut+MIU-NNGUR-SSA=GALUAR<Participium<han
Sisimiormioqarpoq	Sisimiut+MIU-QAR<Indikativ<han
Sisimiormioqarporli	Sisimiut+MIU-QAR<Indikativ<han+LI
Sisimiormioqarpa	Sisimiut+MIU-QAR<Interrogativ<han
Sisimiormioqarneq	Sisimiut+MIU-QAR+NIQ<ental<Absolut
Sisimiormioqarnerlu	Sisimiut+MIU-QAR+NIQ<ental<Absolut+LU
Sisimiormioqarneruna	Sisimiut+MIU-QAR+NIQ<ental<Absolut+UNA
Sisimiormioqartoq	Sisimiut+MIU-QAR<Participium<han
Sisimiormioqartorli	Sisimiut+MIU-QAR<Participium<han+LI
Sisimiormioqartorlu	Sisimiut+MIU-QAR<Participium<han+LU
Sisimiormioqartoq	Sisimiut+MIU-QAR+TUQ<ental<Absolut
Sisimiormioqartorli	Sisimiut+MIU-QAR+TUQ<ental<Absolut+LI
Sisimiormiuugamalu	Sisimiut+MIU-U<Causativ<jeg+LU
Sisimiormiuugaluarferujugalu	Sisimiut+MIU-U+GALUAR+FIK-RUJUK<ental<min<Absolut+LU
Sisimiormioorusukkatta	Sisimiut+MIU-U+GUSUP<Causativ<vi
Sisimiormioorusunnerni	Sisimiut+MIU-U+GUSUP+NIQ<flertal<Lokalis
Sisimiormiuuvunga	Sisimiut+MIU-U<Indikativ<jeg
Sisimiormiuuinnarpunga	Sisimiut+MIU-U-INNAR<Indikativ<jeg
Sisimiormiuunini	Sisimiut+MIU-U+NIQ<ental<sin<Absolut
Sisimiormiooqqaarama	Sisimiut+MIU-U-QQAAR<Causativ<jeg
Sisimiormiooqqaarlutik	Sisimiut+MIU-U-QQAAR<Ledsagemåde<de_selv
Sisimiormiooqqaartooriarneratalu	Sisimiut+MIU-U-QQAAR+TUQ-U-RIAR+NIQ<ental<deres<Relativ+LU
Sisimiormiooqqutigilluunniit	Sisimiut+MIU-U-QQU<Imperativ<ViDem+LUUNNIIT
Sisimiormiooriarnini	Sisimiut+MIU-U-RIAR+NIQ<ental<sin<Absolut
Sisimiormiooreernerilli	Sisimiut+MIU-U-RIIR+NIQ<flertal<Relativ+LI
Sisimiormiooreernerpaaneeriarlutilli	Sisimiut+MIU-U-RIIR+NIRPAAQ<flertal<Lokalis+IP-RIAR<Ledsagemåde<de_selv+LI
Sisimiormiuusimanerpaamininguna	Sisimiut+MIU-U+SIMA+NIRPAAQ<ental<sin<Instrumentalis+UNA
Sisimiormiuusinnaasuata	Sisimiut+MIU-U+SINNAA+TUQ<ental<deres<Relativ
Sisimiormiuutillarali	Sisimiut+MIU-U+TIP<Optativ<JegHam+LI
Sisimiormiuuallaanngiffinngooriarfippassui	Sisimiut+MIU-U+VALLAAR=NNGIT+FIK-NNGUAQ-U-RIAR+FIK+PASSUAQ<flertal<deres<Absolut
Sisimiunut	Sisimiut<Terminalis
Sisimiunukalerneq	Sisimiut<Terminalis-KAR-LIR+NIQ<ental<Absolut
Sisimiunukalertut	Sisimiut<Terminalis-KAR-LIR<Participium<de
Sisimiunukanngitsoq	Sisimiut<Terminalis-KAR-NNGIT+TUQ<ental<Absolut
Sisimiunukariarfikkunneeqqaartoqanngilaq	Sisimiut<Terminalis-KAR-RIAR+FIK-KKUT<flertal<Instrumentalis-IR-QQAAR+TUQ-QAR-NNGIT<Indikativ<han
Sisimiunukariarlutik	Sisimiut<Terminalis-KAR-RIAR<Ledsagemåde<de_selv
Sisimiunukassaagununa	Sisimiut<Terminalis-KAR-SSA<Indikativ<vi+UNA
Sisimiunulli	Sisimiut<Terminalis+LI
Sisimiunununa	Sisimiut<Terminalis+UNA
siullerilerlara	siulleq+GӘ-LIR<Optativ<JegHam
siulliinnanngussagaluarattaana	siulleq-INNAQ-NNGUR-SSA=GALUAR<Causativ<vi+UNA
siullerujuga	siulleq-RUJUK<ental<min<Absolut
siullerujussuarneeqqaarmatali	siulleq-RUJUK=SUAQ<flertal<Lokalis+IP-QQAAR<Causativ<de+LI
siullertaavittoq	siulleq+TAAR-VIP+TUQ<ental<Absolut
sivikilluinnarneratalu	sivikip+LUINNAR+NIQ<ental<hans<Relativ+LU
sivikinnerilli	sivikip+NIQ<flertal<Relativ+LI
sivikeqqaarfeqartitsigilluunniit	sivikip-QQAAR+FIK-QAR+TIP<Imperativ<ViDem+LUUNNIIT
sivikeqqaarnerpaaqariartunngooriarfiinnaa	sivikip-QQAAR+NIRPAAQ-QAR-RIAR+TUQ-NNGUAQ-U-RIAR+FIK-INNAQ<ental<hans<Absolut
sivikeqquassiluunniit	sivikip-QQU<Indikativ<JegJer+LUUNNIIT
sivikeqqulara	sivikip-QQU<Optativ<JegHam
sivikeqaaq	sivikip-QӘ<Indikativ<han
sivikereermata	sivikip-RIIR<Causativ<de
sivikereeratta	sivikip-RIIR<Causativ<vi
sivikereernerpaavi	sivikip-RIIR+NIRPAAQ<flertal<hans<Absolut
sooq	sooq<Partikel
soorli	sooq<Partikel+LI
soorluunniit	sooq<Partikel+LUUNNIIT
soorunami	soorunami<Partikel
soorunamili	soorunami<Partikel+LI
soqutiginarnerinuna	soqutiginar+NIQ<flertal<Relativ+UNA
soqutiginarsimagatta	soqutiginar+SIMA<Causativ<vi
soqutiginarsimanini	soqutiginar+SIMA+NIQ<ental<sin<Absolut
soqutiginartarpa	soqutiginar+TAR<Interrogativ<han
soqutiginavittorigaluarpassi	soqutiginar-VIP+TUQ+GӘ+GALUAR<Indikativ<JegJer
soqutigigaluarpalli	soqutigә+GALUAR<Indikativ<DuHam+LI
soqutigiviuk	soqutigә<Interrogativ<DuHam
soqutigaluguli	soqutigә<Ledsagemåde<ham+LI
soqutigilerlara	soqutigә-LIR<Optativ<JegHam
soqutigeriartigilli	soqutigә-RIAR<Imperativ<ViDem+LI
soqutigisariaqartigilli	soqutigә+TARIAQAR<Imperativ<ViDem+LI
soqutigisorujorujussuullugu	soqutigә+TUQ=RUJUK=RUJUK=SUAQ=U<Ledsagemåde<ham
soqutigivallaannginnakku	soqutigә+VALLAAR=NNGIT<Causativ<JegHam
sorsunneranuna	sorsunneq<ental<Absolut<deres+UNA
sorsunnertullu	sorsunneq<ental<Aequalis+LU
sorsunninneeriarniniluunniit	sorsunneq<ental<min<Lokalis+IP-RIAR+NIQ<ental<sin<Absolut+LUUNNIIT
sorsunneriittulli	sorsunneq+GIIT<flertal<Aequalis+LI
sorsunnikkunni	sorsunneq-KKUT<flertal<Lokalis
sorsunnikunngulaartartulilerlungalu	sorsunneq-KU-NNGUR-LAAR=TAR+TUQ-LIR_nv-LIR<Ledsagemåde<mig+LU
sorsunnilinngoriartulilerinatik	sorsunneq-LIK-NNGUR-RIAR+TUQ-LIK-LIRI-NNGIT<Ledsagemåde<de_selv
sorsunnilinnginnakku	sorsunneq-LIR_nv-NNGIT<Causativ<JegHam
sorsunnileqigakkuuna	sorsunneq-LIR_nv-QӘ<Causativ<JegHam+UNA
sorsunnilissavaanngaana	sorsunneq-LIR_nv-SSA<Indikativ<DeMig+UNA
sorsunninngooqquaanga	sorsunneq-NNGUAQ-U-QQU<Indikativ<HanMig
sorsunnerpassuilli	sorsunneq+PASSUAQ<flertal<Absolut+LI
sorsunnerpassuillu	sorsunneq+PASSUAQ<flertal<Absolut+LU
sorsunnersiulertullu	sorsunneq+SIUR-LIR<Participium<de+LU
sorsunnissalerilluarnerneeriarneq	sorsunneq-SSAQ-LIRI+LUAR+NIQ<flertal<Lokalis+IP-RIAR+NIQ<ental<Absolut
sorsunnissaagaluata	sorsunneq-SSAQ=U=GALUAQ<ental<hans<Relativ
summallu	su<Causativ<han+LU
sujunnaarmallu	su+GUNNAAR<Causativ<han+LU
sujunnaartorli	su+GUNNAAR<Participium<han+LI
sujunnaartungalu	su+GUNNAAR<Participium<jeg+LU
sorusuffeqariarmata	su+GUSUP+FIK-QAR-RIAR<Causativ<de
sorusunnerpaaniilernerli	su+GUSUP+NIRPAAQ<flertal<Instrumentalis-IR-LIR+NIQ<ental<Absolut+LI
sorusuttussaagaluattununa	su+GUSUP+TUQ-SSAQ=U=GALUAQ<ental<deres<Aequalis+UNA
suvoq	su<Indikativ<han
suvungalu	su<Indikativ<jeg+LU
suit	su<Interrogativ<du
SULI	SULI<Partikel
SULIli	SULI<Partikel+LI
SULIlu	SULI<Partikel+LU
SULIluunniit	SULI<Partikel+LUUNNIIT
SULIuna	SULI<Partikel+UNA
sulerfeqalernini	su-LIR+FIK-QAR-LIR+NIQ<ental<sin<Absolut
sulerpugut	su-LIR<Indikativ<vi
sulluarnerpaamununa	su+LUAR+NIRPAAQ<ental<Terminalis+UNA
sunera	su+NIQ<ental<hans<Absolut
sunerinuna	su+NIQ<flertal<Relativ+UNA
sunernini	su+NIR+NIQ<ental<sin<Absolut
sunerpaaq	su+NIRPAAQ<ental<Absolut
sunnginnatta	su-NNGIT<Causativ<vi
sunngitsoqassasunga	su-NNGIT+TUQ-QAR-SSA<Participium<jeg
susunga	su<Participium<jeg
soqqaaratta	su-QQAAR<Causativ<vi
soqqaarfiinuna	su-QQAAR+FIK<flertal<Absolut+UNA
soqqaarfiinnakka	su-QQAAR+FIK-INNAQ<flertal<min<Absolut
soqqaarferujussuattut	su-QQAAR+FIK-RUJUK=SUAQ<ental<deres<Aequalis
soqqaarneralu	su-QQAAR+NIQ<ental<hans<Absolut+LU
soqqaarnini	su-QQAAR+NIQ<ental<sin<Absolut
soqqaarninili	su-QQAAR+NIQ<ental<sin<Absolut+LI
