akisussaassuseq	akisussaassuseq<ental<Absolut
sakkutooqarfilerpaa	sakkutooqarfik-LIR_nv<Indikativ<HanHam
sakkutooqarfilertippaa	sakkutooqarfik-LIR_nv+TIP<Indikativ<HanHam
sakkutooqarfilertussaavaa	sakkutooqarfik-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
sakkutooqarfissaagaluaq	sakkutooqarfik-SSAQ=U=GALUAQ<Absolut<ental
sakkutooqarfissaagaluata	sakkutooqarfik-SSAQ=U=GALUAQ<ental<deres<Relativ
sakkutooqarfissaagaluata	sakkutooqarfik-SSAQ=U=GALUAQ<ental<hans<Relativ
sakkutooqarfissaagaluanni	sakkutooqarfik-SSAQ=U=GALUAQ<ental<min<Lokalis
sakkutooqarfissaagalui	sakkutooqarfik-SSAQ=U=GALUAQ<flertal<deres<Absolut
sakkutooqarfissaagaluanni	sakkutooqarfik-SSAQ=U=GALUAQ<flertal<min<Lokalis
sakkutooq	sakkutooq<ental<Absolut
sakkutuuata	sakkutooq<ental<deres<Relativ
sakkutuuata	sakkutooq<ental<hans<Relativ
sakkutuunni	sakkutooq<ental<min<Lokalis
sakkutuui	sakkutooq<flertal<deres<Absolut
sakkutuunni	sakkutooq<flertal<min<Lokalis
sakkutuulerpaa	sakkutooq-LIR_nv<Indikativ<HanHam
sakkutuulertippaa	sakkutooq-LIR_nv+TIP<Indikativ<HanHam
sakkutuulertussaavaa	sakkutooq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
sakkutuussaagaluaq	sakkutooq-SSAQ=U=GALUAQ<Absolut<ental
sakkutuussaagaluata	sakkutooq-SSAQ=U=GALUAQ<ental<deres<Relativ
sakkutuussaagaluata	sakkutooq-SSAQ=U=GALUAQ<ental<hans<Relativ
sakkutuussaagaluanni	sakkutooq-SSAQ=U=GALUAQ<ental<min<Lokalis
sakkutuussaagalui	sakkutooq-SSAQ=U=GALUAQ<flertal<deres<Absolut
sakkutuussaagaluanni	sakkutooq-SSAQ=U=GALUAQ<flertal<min<Lokalis
takisooq	takisooq<ental<Absolut
tamakku	tamakku<Pronomen<Absolut<flertal
tamanna	tamanna<Pronomen<Absolut<ental
ulapaarfik	ulapaar+FIK<ental<Absolut
ulapaarfiata	ulapaar+FIK<ental<deres<Relativ
ulapaarfiata	ulapaar+FIK<ental<hans<Relativ
ulapaarfinni	ulapaar+FIK<ental<min<Lokalis
ulapaarfii	ulapaar+FIK<flertal<deres<Absolut
ulapaarfinni	ulapaar+FIK<flertal<min<Lokalis
