aappaatigut	aappaatigut<Partikel
oqaluttuarujunneerpoq	oqaluttuaq-RUJUK<flertal<Instrumentalis-IR<Indikativ<han
oqaluttuarujunneerluinnarpoq	oqaluttuaq-RUJUK<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
oqaluttuarujunneertariaqarpoq	oqaluttuaq-RUJUK<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
oqaluttuarujuminik	oqaluttuaq-RUJUK<flertal<sin<Instrumentalis
oqaluttuarujussuaq	oqaluttuaq-RUJUK=SUAQ<ental<Absolut
oqaluttuarujussuattut	oqaluttuaq-RUJUK=SUAQ<ental<deres<Aequalis
oqaluttuarujussuarmik	oqaluttuaq-RUJUK=SUAQ<ental<Instrumentalis
oqaluttuarujussuarmeerpoq	oqaluttuaq-RUJUK=SUAQ<ental<Instrumentalis-IR<Indikativ<han
oqaluttuarujussuarmeerluinnarpoq	oqaluttuaq-RUJUK=SUAQ<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
oqaluttuarujussuarmeertariaqarpoq	oqaluttuaq-RUJUK=SUAQ<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
oqaluttuarujussuarminik	oqaluttuaq-RUJUK=SUAQ<ental<sin<Instrumentalis
oqaluttuarujussuarnik	oqaluttuaq-RUJUK=SUAQ<flertal<Instrumentalis
oqaluttuarujussuarneerpoq	oqaluttuaq-RUJUK=SUAQ<flertal<Instrumentalis-IR<Indikativ<han
oqaluttuarujussuarneerluinnarpoq	oqaluttuaq-RUJUK=SUAQ<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
oqaluttuarujussuarneertariaqarpoq	oqaluttuaq-RUJUK=SUAQ<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
oqaluttuarujussuaminik	oqaluttuaq-RUJUK=SUAQ<flertal<sin<Instrumentalis
pavani	pavani<Partikel
qaartartoq	qaartartoq<ental<Absolut
qaartartuattut	qaartartoq<ental<deres<Aequalis
qaartartumik	qaartartoq<ental<Instrumentalis
qaartartumeerpoq	qaartartoq<ental<Instrumentalis-IR<Indikativ<han
