TA+una+Gram/Dem+Pron+Abs+Sg	taanna
tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	teeqarusunngilatit
tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg	teeqarpunga
tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg+LI	teeqarpungali
tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg+LU	teeqarpungalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LI	teeqassavilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LU	teeqassavillu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg	teeqassavit
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg	teeqassanngilaq
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	teeqassanngilarli
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	teeqassanngilarlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg	teeqassanngilanga
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	teeqassanngilangali
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	teeqassanngilangalu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	teeqassanngilatilli
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	teeqassanngilatillu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg	teeqassanngilatit
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg	teeqassaaq
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI	teeqassaarli
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU	teeqassaarlu
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg	teeqassaanga
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LI	teeqassaangali
tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LU	teeqassaangalu
