taanna	TA+una+Gram/Dem+Pron+Abs+Sg
Narsarmiuussanngilarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Narsarmiuussanngilarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Narsarmiuussanngilanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg
Narsarmiuussanngilangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
Narsarmiuussanngilangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
Narsarmiuussanngilatilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
Narsarmiuussanngilatillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
Narsarmiuussanngilatit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg
Narsarmiuussaaq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
Narsarmiuussaarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
Narsarmiuussaarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
Narsarmiuussaanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg
Narsarmiuussaangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI
Narsarmiuussaangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU
Narsarmiuuilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LI
Narsarmiuuillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LU
Narsarmiuuit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg
Narsarmiuunngilaq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Narsarmiuunngilarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Narsarmiuunngilarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
Narsarmiuunngilanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg
Narsarmiuunngilangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI
Narsarmiuunngilangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU
Narsarmiuunngilatilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI
Narsarmiuunngilatillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU
Narsarmiuunngilatit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg
Narsarmiumik	Narsaq+Sem/Geo+Prop+MIU+N+Ins+Sg
Narsarmiumilli	Narsaq+Sem/Geo+Prop+MIU+N+Ins+Sg+LI
Narsarmiumillu	Narsaq+Sem/Geo+Prop+MIU+N+Ins+Sg+LU
Narsarmiumilli	Narsaq+Sem/Geo+Prop+MIU+N+Abl+Sg+LI
Narsarmiumillu	Narsaq+Sem/Geo+Prop+MIU+N+Abl+Sg+LU
Narsarmiumit	Narsaq+Sem/Geo+Prop+MIU+N+Abl+Sg
Narsarmiumi	Narsaq+Sem/Geo+Prop+MIU+N+Lok+Sg
Narsarmiumili	Narsaq+Sem/Geo+Prop+MIU+N+Lok+Sg+LI
Narsarmiumilu	Narsaq+Sem/Geo+Prop+MIU+N+Lok+Sg+LU
Narsarmiumulli	Narsaq+Sem/Geo+Prop+MIU+N+Trm+Sg+LI
Narsarmiumullu	Narsaq+Sem/Geo+Prop+MIU+N+Trm+Sg+LU
Narsarmiumut	Narsaq+Sem/Geo+Prop+MIU+N+Trm+Sg
Narsarmiuga	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss
Narsarmiugali	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LI
Narsarmiugalu	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LU
Narsarmiu	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg
Narsarmiuli	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg+LI
Narsarmiulu	Narsaq+Sem/Geo+Prop+MIU+N+Abs+Sg+LU
Narsarmioqarpoq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg
Narsarmioqarporli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI
Narsarmioqarporlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU
Narsarmioqarusussanngilaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Narsarmioqarusussanngilarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Narsarmioqarusussanngilarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Narsarmioqarusussaaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Narsarmioqarusussaarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Narsarmioqarusussaarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Narsarmioqarusuppoq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Narsarmioqarusupporli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Narsarmioqarusupporlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Narsarmioqarusunngilaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Narsarmioqarusunngilarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Narsarmioqarusunngilarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Narsarmioqassanngilaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Narsarmioqassanngilarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Narsarmioqassanngilarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Narsarmioqassaaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg
Narsarmioqassaarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI
Narsarmioqassaarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU
Narsarmioqanngilaq	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg
Narsarmioqanngilarli	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI
Narsarmioqanngilarlu	Narsaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU
Narsarmioorusussavilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
Narsarmioorusussavillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
Narsarmioorusussavit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
Narsarmioorusussanngilaq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Narsarmioorusussanngilarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Narsarmioorusussanngilarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Narsarmioorusussanngilanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
Narsarmioorusussanngilangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
Narsarmioorusussanngilangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
Narsarmioorusussanngilatilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
Narsarmioorusussanngilatillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
Narsarmioorusussanngilatit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
Narsarmioorusussaaq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Narsarmioorusussaarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Narsarmioorusussaarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Narsarmioorusussaanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
Narsarmioorusussaangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
Narsarmioorusussaangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
Narsarmioorusuppilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
Narsarmioorusuppillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
Narsarmioorusuppit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
Narsarmioorusuppoq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Narsarmioorusupporli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Narsarmioorusupporlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Narsarmioorusuppunga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
Narsarmioorusuppungali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
Narsarmioorusuppungalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
Narsarmioorusunngilaq	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Narsarmioorusunngilarli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Narsarmioorusunngilarlu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Narsarmioorusunngilanga	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
Narsarmioorusunngilangali	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
Narsarmioorusunngilangalu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
Narsarmioorusunngilatilli	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
Narsarmioorusunngilatillu	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
Narsarmioorusunngilatit	Narsaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
Narsarli	Narsaq+Sem/Geo+Prop+Abs+Sg+LI
Narsarlu	Narsaq+Sem/Geo+Prop+Abs+Sg+LU
Narsaq	Narsaq+Sem/Geo+Prop+Abs+Sg
Narsamik	Narsaq+Sem/Geo+Prop+Ins+Sg
Narsamilli	Narsaq+Sem/Geo+Prop+Ins+Sg+LI
Narsamillu	Narsaq+Sem/Geo+Prop+Ins+Sg+LU
Narsamilli	Narsaq+Sem/Geo+Prop+Abl+Sg+LI
Narsamillu	Narsaq+Sem/Geo+Prop+Abl+Sg+LU
Narsamit	Narsaq+Sem/Geo+Prop+Abl+Sg
Narsami	Narsaq+Sem/Geo+Prop+Lok+Sg
Narsamili	Narsaq+Sem/Geo+Prop+Lok+Sg+LI
Narsamilu	Narsaq+Sem/Geo+Prop+Lok+Sg+LU
Narsamulli	Narsaq+Sem/Geo+Prop+Trm+Sg+LI
Narsamullu	Narsaq+Sem/Geo+Prop+Trm+Sg+LU
Narsamut	Narsaq+Sem/Geo+Prop+Trm+Sg
Narsaavoq	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg
Narsaavorli	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LI
Narsaavorlu	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LU
Narsaanngilaq	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Narsaanngilarli	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Narsaanngilarlu	Narsaq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
Nanortalik	Nanortalik+Sem/Geo+Prop+Abs+Sg
Nanortalimmik	Nanortalik+Sem/Geo+Prop+Ins+Sg
Nanortalimmilli	Nanortalik+Sem/Geo+Prop+Ins+Sg+LI
Nanortalimmillu	Nanortalik+Sem/Geo+Prop+Ins+Sg+LU
Nanortalimmilli	Nanortalik+Sem/Geo+Prop+Abl+Sg+LI
Nanortalimmillu	Nanortalik+Sem/Geo+Prop+Abl+Sg+LU
Nanortalimmiuuvunga	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg
Nanortalimmiuuvungali	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LI
Nanortalimmiuuvungalu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LU
Nanortalimmiuuvoq	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg
Nanortalimmiuuvorli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LI
Nanortalimmiuuvorlu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LU
Nanortalimmiuussavilli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI
Nanortalimmiuussavillu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU
Nanortalimmiuussavit	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg
Nanortalimmiuussanngilaq	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Nanortalimmiuussanngilarli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Nanortalimmiuussanngilarlu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Nanortalimmiuussanngilanga	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg
Nanortalimmiuussanngilangali	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
Nanortalimmiuussanngilangalu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
Nanortalimmiuussanngilatilli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
Nanortalimmiuussanngilatillu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
Nanortalimmiuussanngilatit	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg
Nanortalimmiuussaaq	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
Nanortalimmiuussaarli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
Nanortalimmiuussaarlu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
Nanortalimmiuussaanga	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg
Nanortalimmiuussaangali	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI
Nanortalimmiuussaangalu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU
Nanortalimmiuuilli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LI
Nanortalimmiuuillu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LU
Nanortalimmiuuit	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg
Nanortalimmiuunngilaq	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Nanortalimmiuunngilarli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Nanortalimmiuunngilarlu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
Nanortalimmiuunngilanga	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg
Nanortalimmiuunngilangali	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI
Nanortalimmiuunngilangalu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU
Nanortalimmiuunngilatilli	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI
Nanortalimmiuunngilatillu	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU
Nanortalimmiuunngilatit	Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg
Nanortalimmiumik	Nanortalik+Sem/Geo+Prop+MIU+N+Ins+Sg
Nanortalimmiumilli	Nanortalik+Sem/Geo+Prop+MIU+N+Ins+Sg+LI
Nanortalimmiumillu	Nanortalik+Sem/Geo+Prop+MIU+N+Ins+Sg+LU
Nanortalimmiumilli	Nanortalik+Sem/Geo+Prop+MIU+N+Abl+Sg+LI
Nanortalimmiumillu	Nanortalik+Sem/Geo+Prop+MIU+N+Abl+Sg+LU
Nanortalimmiumit	Nanortalik+Sem/Geo+Prop+MIU+N+Abl+Sg
Nanortalimmiumi	Nanortalik+Sem/Geo+Prop+MIU+N+Lok+Sg
Nanortalimmiumili	Nanortalik+Sem/Geo+Prop+MIU+N+Lok+Sg+LI
Nanortalimmiumilu	Nanortalik+Sem/Geo+Prop+MIU+N+Lok+Sg+LU
Nanortalimmiumulli	Nanortalik+Sem/Geo+Prop+MIU+N+Trm+Sg+LI
Nanortalimmiumullu	Nanortalik+Sem/Geo+Prop+MIU+N+Trm+Sg+LU
Nanortalimmiumut	Nanortalik+Sem/Geo+Prop+MIU+N+Trm+Sg
Nanortalimmiuga	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss
Nanortalimmiugali	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LI
Nanortalimmiugalu	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LU
Nanortalimmiu	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg
Nanortalimmiuli	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg+LI
Nanortalimmiulu	Nanortalik+Sem/Geo+Prop+MIU+N+Abs+Sg+LU
Nanortalimmioqarpoq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg
Nanortalimmioqarporli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI
Nanortalimmioqarporlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU
Nanortalimmioqarusussanngilaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Nanortalimmioqarusussanngilarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Nanortalimmioqarusussanngilarlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Nanortalimmioqarusussaaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Nanortalimmioqarusussaarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Nanortalimmioqarusussaarlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Nanortalimmioqarusuppoq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Nanortalimmioqarusupporli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Nanortalimmioqarusupporlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Nanortalimmioqarusunngilaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Nanortalimmioqarusunngilarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Nanortalimmioqarusunngilarlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Nanortalimmioqassanngilaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Nanortalimmioqassanngilarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Nanortalimmioqassanngilarlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Nanortalimmioqassaaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg
Nanortalimmioqassaarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI
Nanortalimmioqassaarlu	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU
Nanortalimmioqanngilaq	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg
Nanortalimmioqanngilarli	Nanortalik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI
